ProductID,Category,SubCategory
1000,Apparel,Men's Wear
1001,Apparel,Accessories
1003,Apparel,Accessories
1005,Apparel,Men's Wear
1006,Apparel,Children's Wear
1007,Apparel,Men's Wear
1008,Apparel,Men's Wear
1009,Apparel,Men's Wear
1010,Apparel,Women's Wear
1013,Apparel,Men's Wear
1014,Apparel,Children's Wear
1017,Apparel,Accessories
1019,Apparel,Women's Wear
1020,Apparel,Children's Wear
1021,Apparel,Women's Wear
1023,Apparel,Men's Wear
1024,Apparel,Children's Wear
1027,Apparel,Children's Wear
1028,Apparel,Men's Wear
1030,Apparel,Accessories
1032,Apparel,Men's Wear
1033,Apparel,Men's Wear
1034,Apparel,Children's Wear
1035,Apparel,Accessories
1040,Apparel,Accessories
1041,Apparel,Accessories
1042,Apparel,Accessories
1043,Apparel,Accessories
1045,Apparel,Children's Wear
1049,Apparel,Children's Wear
1051,Apparel,Children's Wear
1052,Apparel,Accessories
1053,Apparel,Children's Wear
1055,Apparel,Accessories
1056,Apparel,Children's Wear
1057,Apparel,Women's Wear
1059,Apparel,Men's Wear
1060,Apparel,Men's Wear
1062,Apparel,Women's Wear
1063,Apparel,Accessories
1067,Apparel,Accessories
1072,Apparel,Children's Wear
1073,Apparel,Children's Wear
1075,Apparel,Men's Wear
1076,Apparel,Men's Wear
1077,Apparel,Men's Wear
1078,Apparel,Women's Wear
1080,Apparel,Accessories
1081,Apparel,Accessories
1082,Apparel,Women's Wear
1083,Apparel,Children's Wear
1084,Apparel,Children's Wear
1085,Apparel,Accessories
1086,Apparel,Accessories
1087,Apparel,Accessories
1089,Apparel,Children's Wear
1090,Apparel,Women's Wear
1091,Apparel,Children's Wear
1092,Apparel,Women's Wear
1095,Apparel,Women's Wear
1096,Apparel,Children's Wear
1097,Apparel,Accessories
1098,Apparel,Men's Wear
1099,Apparel,Children's Wear
1100,Apparel,Men's Wear
1101,Apparel,Accessories
1103,Apparel,Accessories
1105,Apparel,Accessories
1107,Apparel,Women's Wear
1109,Apparel,Women's Wear
1112,Apparel,Accessories
1113,Apparel,Women's Wear
1116,Apparel,Children's Wear
1117,Apparel,Men's Wear
1122,Apparel,Children's Wear
1124,Apparel,Women's Wear
1125,Apparel,Accessories
1127,Apparel,Men's Wear
1129,Apparel,Accessories
1131,Apparel,Men's Wear
1132,Apparel,Accessories
1133,Apparel,Women's Wear
1136,Apparel,Children's Wear
1137,Apparel,Children's Wear
1138,Apparel,Accessories
1140,Apparel,Men's Wear
1141,Apparel,Children's Wear
1142,Apparel,Accessories
1144,Apparel,Women's Wear
1147,Apparel,Men's Wear
1148,Apparel,Children's Wear
1149,Apparel,Children's Wear
1150,Apparel,Women's Wear
1152,Apparel,Men's Wear
1154,Apparel,Women's Wear
1155,Apparel,Women's Wear
1156,Apparel,Accessories
1157,Apparel,Accessories
1158,Apparel,Women's Wear
1159,Apparel,Children's Wear
1161,Apparel,Children's Wear
1162,Apparel,Women's Wear
1163,Apparel,Men's Wear
1165,Apparel,Children's Wear
1169,Apparel,Men's Wear
1170,Apparel,Men's Wear
1171,Apparel,Accessories
1174,Apparel,Accessories
1175,Apparel,Women's Wear
1176,Apparel,Men's Wear
1177,Apparel,Accessories
1178,Apparel,Children's Wear
1180,Apparel,Accessories
1181,Apparel,Accessories
1182,Apparel,Men's Wear
1183,Apparel,Men's Wear
1184,Apparel,Men's Wear
1185,Apparel,Women's Wear
1186,Apparel,Accessories
1187,Apparel,Women's Wear
1188,Apparel,Men's Wear
1191,Apparel,Accessories
1193,Apparel,Women's Wear
1194,Apparel,Accessories
1197,Apparel,Women's Wear
1199,Apparel,Women's Wear
1200,Apparel,Children's Wear
1201,Apparel,Accessories
1204,Apparel,Accessories
1205,Apparel,Children's Wear
1206,Apparel,Men's Wear
1207,Apparel,Accessories
1208,Apparel,Men's Wear
1209,Apparel,Children's Wear
1210,Apparel,Women's Wear
1211,Apparel,Women's Wear
1212,Apparel,Men's Wear
1213,Apparel,Children's Wear
1215,Apparel,Children's Wear
1216,Apparel,Men's Wear
1219,Apparel,Women's Wear
1221,Apparel,Accessories
1222,Apparel,Accessories
1223,Apparel,Children's Wear
1225,Apparel,Children's Wear
1226,Apparel,Women's Wear
1228,Apparel,Accessories
1229,Apparel,Children's Wear
1230,Apparel,Children's Wear
1231,Apparel,Men's Wear
1232,Apparel,Accessories
1233,Apparel,Children's Wear
1234,Apparel,Men's Wear
1235,Apparel,Accessories
1237,Apparel,Children's Wear
1238,Apparel,Children's Wear
1240,Apparel,Accessories
1243,Apparel,Accessories
1244,Apparel,Children's Wear
1245,Apparel,Children's Wear
1248,Apparel,Women's Wear
1249,Apparel,Men's Wear
1250,Apparel,Children's Wear
1251,Apparel,Children's Wear
1252,Apparel,Children's Wear
1253,Apparel,Men's Wear
1254,Apparel,Men's Wear
1256,Apparel,Accessories
1258,Apparel,Children's Wear
1262,Apparel,Men's Wear
1264,Apparel,Men's Wear
1265,Apparel,Accessories
1266,Apparel,Women's Wear
1268,Apparel,Men's Wear
1270,Apparel,Women's Wear
1272,Apparel,Children's Wear
1274,Apparel,Accessories
1276,Apparel,Accessories
1277,Apparel,Accessories
1279,Apparel,Accessories
1280,Apparel,Women's Wear
1281,Apparel,Accessories
1282,Apparel,Children's Wear
1286,Apparel,Men's Wear
1289,Apparel,Women's Wear
1291,Apparel,Accessories
1292,Apparel,Accessories
1293,Apparel,Women's Wear
1296,Apparel,Children's Wear
1297,Apparel,Accessories
1298,Apparel,Children's Wear
1299,Apparel,Men's Wear
1300,Apparel,Men's Wear
1301,Apparel,Women's Wear
1302,Apparel,Children's Wear
1303,Apparel,Women's Wear
1304,Apparel,Men's Wear
1305,Apparel,Men's Wear
1306,Apparel,Women's Wear
1307,Apparel,Children's Wear
1309,Apparel,Children's Wear
1310,Apparel,Women's Wear
1311,Apparel,Children's Wear
1312,Apparel,Women's Wear
1313,Apparel,Children's Wear
1316,Apparel,Women's Wear
1317,Apparel,Women's Wear
1320,Apparel,Accessories
1321,Apparel,Women's Wear
1323,Apparel,Accessories
1324,Apparel,Women's Wear
1325,Apparel,Accessories
